words,x_coord,y_coord
"386,000",-20.9658039854,-6.83436754185
hands-on,-16.1049782991,35.156789898
price-level,-12.6648048799,28.6777566496
Companies,-7.70225820941,8.09585589811
dependents,-10.1317025722,12.0060242867
mechanism,25.9528411966,-5.60369888298
clerk,36.4931754914,-2.71821437447
strikingly,30.2282697194,-28.0818765566
capsules,-5.92489872922,13.4664973975
Gradison,-0.239322950113,-29.2372442626
Adopting,14.3398357258,-5.69868099244
equivalent,29.7801106129,-8.83614095022
Fear,32.1213608791,-11.6673590968
varied,-21.8052849301,-20.8567252504
flopped,-17.131200265,-19.3884894074
Marcos,0.434677040993,-28.7500967013
three-month,-17.6327763301,27.9763275421
Grover,3.46777863544,-31.9145992657
seeks,2.68005773818,2.49120864377
establishes,3.8186789698,1.2202855436
11.9,-16.8890364732,-3.6346565704
tomorrow,27.7615058842,-2.75321269471
20s,-16.0393457159,-2.47332111653
derisively,30.5029561281,-27.7765044254
bidding,27.5155961445,-8.49591700322
exodus,35.6187927677,2.86390630951
switchers,-7.5406112838,14.8634805584
Makers,4.85380904593,-31.8435790769
advised,-20.0342116346,-21.9415656603
governmental,-16.5925857713,35.0746787241
derby,36.562485132,-6.38633788714
announced,-14.4920708085,-21.1384702055
tighter,15.5025452057,18.290200857
stew,36.4793325574,-5.4402993311
Shevardnadze,0.919125984535,-34.2134654254
rallied,-14.4966368947,-21.7474980914
afflicted,-22.0237851026,-17.7920929143
ago,26.239802006,-26.0534407
ambitious,-14.5663648383,26.8509303067
Advisor,2.75331178446,-30.716020619
tired,-20.540785304,-20.0803191786
shaken,-20.9915034658,-19.1784608538
singled,-15.1030044466,-18.6580724912
just,26.8458497744,-27.1960310839
hostilities,-9.72901910167,12.4705736108
marble-encased,-12.2059439961,32.8826807169
chickens,-8.15545239428,13.1938002262
cunning,-11.056743815,34.8477721056
subdirector,33.697191368,-3.35570939917
Alcee,5.66416973418,-29.8922790601
bluesy,-14.9502724278,35.6915156359
codes,-9.44947026901,16.5327956019
minds,-9.00646730503,17.7019851378
replaced,-17.6202464665,-20.6083499528
performs,3.48440064871,0.193481959871
mid-October,-1.47388885271,-33.5978138734
focuses,3.84506358412,0.0077981957995
Sri,3.44911207364,-27.1064961982
Kurlak,-0.0218289887151,-28.2675481213
2007,-16.4949681003,-6.56523677562
pared,-22.5975259811,-17.5282449266
emerges,3.6501110646,2.1004458825
disruptions,-7.55207505822,14.7901173228
caution,39.668229136,-6.16537433557
enough,22.6850945158,-24.8319506293
install,39.3521700547,-4.74941741969
filings,-9.6340151303,14.2177439443
tops,-5.08132363581,14.8500967672
turf,23.9334331356,-8.93045493421
visions,-6.45555501634,16.5974192991
leaves,3.55302624975,1.86663727941
150.3,-20.5438379998,-6.0312304238
endorsement,35.3296308387,-6.92776971486
Petroleos,4.68111335202,-31.9395565746
campaign,23.8108796496,0.0476831613153
syndicate,29.9519877875,1.74509721125
livestock-dealing,-12.3441236497,33.6341466585
